"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2016","2016",165.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2017","2017",166.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2018","2018",161.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2005","2005",144.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2006","2006",143.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2007","2007",144.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2008","2008",145.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2009","2009",145.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2010","2010",148.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2011","2011",149.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2012","2012",149,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2013","2013",147.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2014","2014",157.1,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2015","2015",158.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2016","2016",157.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2017","2017",157.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2018","2018",163.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2005","2005",128.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2006","2006",137.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2007","2007",134.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2008","2008",137.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2009","2009",136.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2010","2010",137.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2011","2011",133.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2012","2012",137,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2013","2013",137.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2014","2014",128.5,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2015","2015",125,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2016","2016",137.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2017","2017",140.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2018","2018",145.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2005","2005",137.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2006","2006",130.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2007","2007",130.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2008","2008",127.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2009","2009",131.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2010","2010",130.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2011","2011",131.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2012","2012",134.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2013","2013",134.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2014","2014",131.4,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2015","2015",131.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2016","2016",133.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2017","2017",133.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2018","2018",138.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2005","2005",127.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2006","2006",129.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2007","2007",131.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2008","2008",131.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2009","2009",131.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2010","2010",134.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2011","2011",138,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2012","2012",137.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2013","2013",140.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2014","2014",142.1,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2015","2015",140.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2016","2016",140.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2017","2017",139.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2018","2018",143.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2005","2005",162.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2006","2006",162.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2007","2007",160.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2008","2008",167.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2009","2009",165.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2010","2010",163.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2011","2011",161.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2012","2012",157.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2013","2013",159.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2014","2014",149.3,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2015","2015",148.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2016","2016",149.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2017","2017",149.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2018","2018",150.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2005","2005",139,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2006","2006",140.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2007","2007",146,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2008","2008",144.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2009","2009",142.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2010","2010",144.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2011","2011",145.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2012","2012",144.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2013","2013",141.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2014","2014",142.2,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2015","2015",143.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2016","2016",145.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2017","2017",146.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2018","2018",149.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2005","2005",149.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2006","2006",148.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2007","2007",149.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2008","2008",152.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2009","2009",153.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2010","2010",152.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2011","2011",153.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2012","2012",148.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2013","2013",146.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2014","2014",152.2,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2015","2015",148.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2016","2016",147.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2017","2017",149,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2018","2018",149.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2005","2005",138.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2006","2006",139.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2007","2007",139.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2008","2008",139.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2009","2009",136.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2010","2010",136.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2011","2011",136,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2012","2012",132.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2013","2013",137.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2014","2014",138.1,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2015","2015",147.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2016","2016",149.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2017","2017",152,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2018","2018",152.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2005","2005",144.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2006","2006",149.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2007","2007",151.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2008","2008",149.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2009","2009",146.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2010","2010",144.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2011","2011",145.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2012","2012",149.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2013","2013",151,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2014","2014",158.7,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2015","2015",164.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2016","2016",164.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2017","2017",168.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2018","2018",167.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2005","2005",134.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2006","2006",125.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2007","2007",129.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2008","2008",133.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2009","2009",130.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2010","2010",130.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2011","2011",129.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2012","2012",130,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2013","2013",125.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2014","2014",131.5,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2015","2015",136.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2016","2016",135.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2017","2017",149,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2018","2018",153,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2005","2005",147.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2006","2006",156.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2007","2007",156.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2008","2008",155.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2009","2009",152.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2010","2010",156.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2011","2011",157.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2012","2012",157.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2013","2013",154.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2014","2014",148.7,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2015","2015",146,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2016","2016",146.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2017","2017",146.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2018","2018",149.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2005","2005",90.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2006","2006",89.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2007","2007",89,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2008","2008",88.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2009","2009",85.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2010","2010",87.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2011","2011",87.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2012","2012",87.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2013","2013",86.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2014","2014",87.1,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2015","2015",87.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2016","2016",86.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2017","2017",89.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2018","2018",89.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2005","2005",85.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2006","2006",87.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2007","2007",90.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2008","2008",92.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2009","2009",97,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2010","2010",100,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2011","2011",102.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2012","2012",105.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2013","2013",102.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2014","2014",104.5,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2015","2015",106.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2016","2016",105.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2017","2017",107.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2018","2018",111.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2005","2005",151.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2006","2006",146.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2007","2007",145.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2008","2008",146.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2009","2009",143.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2010","2010",140.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2011","2011",137.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2012","2012",140.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2013","2013",141.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2014","2014",138,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2015","2015",139.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2016","2016",140.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2017","2017",142,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2018","2018",143.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2005","2005",90.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2006","2006",89.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2007","2007",91.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2008","2008",91.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2009","2009",89.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2010","2010",90.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2011","2011",92.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2012","2012",91.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2013","2013",93.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2014","2014",96.6,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2015","2015",97.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2016","2016",99.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2017","2017",99.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2018","2018",102.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2005","2005",140.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2006","2006",132.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2007","2007",131.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2008","2008",132.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2009","2009",127,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2010","2010",125.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2011","2011",122.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2012","2012",124.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2013","2013",125.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2014","2014",126.7,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2015","2015",128,,
